Train set: Average loss: 1.7475956760644913, Accuracy: 43062/60000  (71.77%)
Test set: Average loss: 1.4677167265415192, Accuracy: 9933/10000 (99.33%)
Train set: Average loss: 1.462863165239493, Accuracy: 59898/60000  (99.83%)

Test set: Average loss: 1.4680144377946853, Accuracy: 9931/10000 (99.31%)
Train set: Average loss: 1.462893098394076, Accuracy: 59898/60000  (99.83%)

Test set: Average loss: 1.4686928714513778, Accuracy: 9924/10000 (99.24%)
Train set: Average loss: 1.4629237170219422, Accuracy: 59898/60000  (99.83%)

Test set: Average loss: 1.468204939842224, Accuracy: 9932/10000 (99.32%)
Train set: Average loss: 1.4628240316510202, Accuracy: 59898/60000  (99.83%)

Test set: Average loss: 1.4682733075618744, Accuracy: 9930/10000 (99.3%)
Train set: Average loss: 1.4628145271539688, Accuracy: 59898/60000  (99.83%)

Test set: Average loss: 1.4682067857980727, Accuracy: 9930/10000 (99.3%)
Train set: Average loss: 1.4627967268625894, Accuracy: 59904/60000  (99.84%)

Test set: Average loss: 1.4681263037919998, Accuracy: 9928/10000 (99.28%)
Train set: Average loss: 1.4627950976292292, Accuracy: 59904/60000  (99.84%)

Test set: Average loss: 1.468156425833702, Accuracy: 9926/10000 (99.26%)
Train set: Average loss: 1.4628175210555394, Accuracy: 59898/60000  (99.83%)

Test set: Average loss: 1.4680111134052276, Accuracy: 9931/10000 (99.31%)
Train set: Average loss: 1.4627787058154742, Accuracy: 59904/60000  (99.84%)

Test set: Average loss: 1.4680056419372558, Accuracy: 9932/10000 (99.32%)
Train set: Average loss: 1.4627778128385545, Accuracy: 59904/60000  (99.84%)

Test set: Average loss: 1.4679283522367477, Accuracy: 9931/10000 (99.31%)
Train set: Average loss: 1.4627772326270738, Accuracy: 59904/60000  (99.84%)

Test set: Average loss: 1.467968292593956, Accuracy: 9933/10000 (99.33%)
Train set: Average loss: 1.4627769972681999, Accuracy: 59904/60000  (99.84%)

Test set: Average loss: 1.467916608452797, Accuracy: 9932/10000 (99.32%)

accuracy is 99.39
